+-------------------------------------------------------------------------------------+
| actor                                                             |  average rating |
+-------------------------------------------------------------------------------------+
| Tim Robbins                                                       |             9.3 |
| Bob Gunton                                                        |             9.3 |
| William Sadler                                                    |             9.3 |
| James Caan                                                        |             9.2 |
| Diane Keaton                                                      |             9.1 |
| Heath Ledger                                                      |             9.0 |
| Aaron Eckhart                                                     |             9.0 |
| John Travolta                                                     |             8.9 |
| Samuel L. Jackson                                                 |             8.9 |
| Caroline Goodall                                                  |             8.9 |
| Martin Balsam                                                     |             8.9 |
| John Fiedler                                                      |             8.9 |
| Joseph Gordon-Levitt                                              |             8.8 |
| Ellen Page                                                        |             8.8 |
| Meat Loaf                                                         |             8.8 |
| Zach Grenier                                                      |             8.8 |
| Sean Bean                                                         |             8.8 |
| Gary Sinise                                                       |             8.8 |
| Sally Field                                                       |             8.8 |
| Eli Wallach                                                       |             8.8 |
| Aldo Giuffrè                                                      |             8.8 |
| Elijah Wood                                                       |             8.8 |
| Ian McKellen                                                      |             8.8 |
| Orlando Bloom                                                     |             8.8 |
| Henry Fonda                                                       |             8.7 |
| Keanu Reeves                                                      |             8.7 |
| Laurence Fishburne                                                |             8.7 |
| Ray Liotta                                                        |             8.7 |
| Lorraine Bracco                                                   |             8.7 |
| Louise Fletcher                                                   |             8.7 |
| Will Sampson                                                      |             8.7 |
| Michael Berryman                                                  |             8.7 |
| Rajesh Khanna                                                     |             8.7 |
| Amitabh Bachchan                                                  |             8.7 |
| Sumita Sanyal                                                     |             8.7 |
| Ramesh Deo                                                        |             8.7 |
| Akira Ishihama                                                    |             8.7 |
| Shima Iwashita                                                    |             8.7 |
| Tetsurô Tanba                                                     |             8.7 |
| Al Pacino                                                         |             8.7 |
| Edward Norton                                                     |             8.7 |
| Sun-kyun Lee                                                      |             8.6 |
| Yeo-jeong Jo                                                      |             8.6 |
| Woo-sik Choi                                                      |             8.6 |
| Jessica Chastain                                                  |             8.6 |
| Mackenzie Foy                                                     |             8.6 |
| Alexandre Rodrigues                                               |             8.6 |
| Leandro Firmino                                                   |             8.6 |
| Matheus Nachtergaele                                              |             8.6 |
| Phellipe Haagensen                                                |             8.6 |
| Daveigh Chase                                                     |             8.6 |
| Suzanne Pleshette                                                 |             8.6 |
| Miyu Irino                                                        |             8.6 |
| Rumi Hiiragi                                                      |             8.6 |
| Tom Sizemore                                                      |             8.6 |
| Edward Burns                                                      |             8.6 |
| Michael Clarke Duncan                                             |             8.6 |
| David Morse                                                       |             8.6 |
| Bonnie Hunt                                                       |             8.6 |
| Roberto Benigni                                                   |             8.6 |
| Nicoletta Braschi                                                 |             8.6 |
| Giorgio Cantarini                                                 |             8.6 |
| Giustino Durano                                                   |             8.6 |
| Andrew Kevin Walker                                               |             8.6 |
| Lawrence A. Bonney                                                |             8.6 |
| Kasi Lemmons                                                      |             8.6 |
| Keiko Tsushima                                                    |             8.6 |
| Yukiko Shimazaki                                                  |             8.6 |
| Donna Reed                                                        |             8.6 |
| Lionel Barrymore                                                  |             8.6 |
| Viggo Mortensen                                                   |             8.6 |
| Marlon Brando                                                     |             8.6 |
| Michael Caine                                                     |             8.6 |
| Morgan Freeman                                                    |             8.6 |
| Lee Van Cleef                                                     |             8.6 |
| Liam Neeson                                                       |             8.5 |
| Carrie-Anne Moss                                                  |             8.5 |
| Mark Hamill                                                       |             8.5 |
| Carrie Fisher                                                     |             8.5 |
| Robert Duvall                                                     |             8.5 |
| Uma Thurman                                                       |             8.5 |
| Ralph Fiennes                                                     |             8.5 |
| Ben Kingsley                                                      |             8.5 |
| Lee J. Cobb                                                       |             8.5 |
| Ken Watanabe                                                      |             8.5 |
| Billy Dee Williams                                                |             8.5 |
| Anne Hathaway                                                     |             8.5 |
| Zazie Beetz                                                       |             8.5 |
| Frances Conroy                                                    |             8.5 |
| Miles Teller                                                      |             8.5 |
| Melissa Benoist                                                   |             8.5 |
| François Cluzet                                                   |             8.5 |
| Omar Sy                                                           |             8.5 |
| Anne Le Ny                                                        |             8.5 |
| Audrey Fleurot                                                    |             8.5 |
| Scarlett Johansson                                                |             8.5 |
| Mark Wahlberg                                                     |             8.5 |
| Thomas Kretschmann                                                |             8.5 |
| Frank Finlay                                                      |             8.5 |
| Emilia Fox                                                        |             8.5 |
| Connie Nielsen                                                    |             8.5 |
| Oliver Reed                                                       |             8.5 |
| Edward Furlong                                                    |             8.5 |
| Beverly D`Angelo                                                  |             8.5 |
| Jennifer Lien                                                     |             8.5 |
| Gabriel Byrne                                                     |             8.5 |
| Chazz Palminteri                                                  |             8.5 |
| Stephen Baldwin                                                   |             8.5 |
| Jean Reno                                                         |             8.5 |
| Danny Aiello                                                      |             8.5 |
| Matthew Broderick                                                 |             8.5 |
| Jeremy Irons                                                      |             8.5 |
| James Earl Jones                                                  |             8.5 |
| Whoopi Goldberg                                                   |             8.5 |
| Robert Patrick                                                    |             8.5 |
| Philippe Noiret                                                   |             8.5 |
| Enzo Cannavale                                                    |             8.5 |
| Antonella Attili                                                  |             8.5 |
| Isa Danieli                                                       |             8.5 |
| Tsutomu Tatsumi                                                   |             8.5 |
| Ayano Shiraishi                                                   |             8.5 |
| Akemi Yamaguchi                                                   |             8.5 |
| Yoshiko Shinohara                                                 |             8.5 |
| Michael J. Fox                                                    |             8.5 |
| Christopher Lloyd                                                 |             8.5 |
| Lea Thompson                                                      |             8.5 |
| Crispin Glover                                                    |             8.5 |
| Claudia Cardinale                                                 |             8.5 |
| Jason Robards                                                     |             8.5 |
| Yutaka Sada                                                       |             8.5 |
| Kyôko Kagawa                                                      |             8.5 |
| Anthony Perkins                                                   |             8.5 |
| Janet Leigh                                                       |             8.5 |
| Vera Miles                                                        |             8.5 |
| John Gavin                                                        |             8.5 |
| Ingrid Bergman                                                    |             8.5 |
| Paul Henreid                                                      |             8.5 |
| Tiny Sandford                                                     |             8.5 |
| Virginia Cherrill                                                 |             8.5 |
| Florence Lee                                                      |             8.5 |
| Harry Myers                                                       |             8.5 |
| Tom Hanks                                                         |             8.5 |
| Robin Wright                                                      |             8.5 |
| Jodie Foster                                                      |             8.5 |
| Hugo Weaving                                                      |             8.4 |
| Jack Nicholson                                                    |             8.4 |
| Robert Downey Jr.                                                 |             8.4 |
| Chris Evans                                                       |             8.4 |
| Gary Oldman                                                       |             8.4 |
| Paulette Goddard                                                  |             8.4 |
| Christian Bale                                                    |             8.4 |
| Brad Pitt                                                         |             8.4 |
| Matthew McConaughey                                               |             8.4 |
| Kevin Spacey                                                      |             8.4 |
| Paul Reiser                                                       |             8.4 |
| Robert De Niro                                                    |             8.4 |
| Bruce Willis                                                      |             8.4 |
| Tatsuya Nakadai                                                   |             8.4 |
| Zain Al Rafeea                                                    |             8.4 |
| Yordanos Shiferaw                                                 |             8.4 |
| Boluwatife Treasure Bankole                                       |             8.4 |
| Kawsar Al Haddad                                                  |             8.4 |
| Ryûnosuke Kamiki                                                  |             8.4 |
| Mone Kamishiraishi                                                |             8.4 |
| Ryô Narita                                                        |             8.4 |
| Aoi Yûki                                                          |             8.4 |
| Sakshi Tanwar                                                     |             8.4 |
| Fatima Sana Shaikh                                                |             8.4 |
| Sanya Malhotra                                                    |             8.4 |
| Shameik Moore                                                     |             8.4 |
| Jake Johnson                                                      |             8.4 |
| Hailee Steinfeld                                                  |             8.4 |
| Anthony Gonzalez                                                  |             8.4 |
| Benjamin Bratt                                                    |             8.4 |
| Alanna Ubach                                                      |             8.4 |
| Jamie Foxx                                                        |             8.4 |
| Christoph Waltz                                                   |             8.4 |
| Kerry Washington                                                  |             8.4 |
| Madhavan                                                          |             8.4 |
| Mona Singh                                                        |             8.4 |
| Darsheel Safary                                                   |             8.4 |
| Tisca Chopra                                                      |             8.4 |
| Vipin Sharma                                                      |             8.4 |
| Ben Burtt                                                         |             8.4 |
| Elissa Knight                                                     |             8.4 |
| Jeff Garlin                                                       |             8.4 |
| Fred Willard                                                      |             8.4 |
| Ulrich Mühe                                                       |             8.4 |
| Martina Gedeck                                                    |             8.4 |
| Sebastian Koch                                                    |             8.4 |
| Ulrich Tukur                                                      |             8.4 |
| Min-sik Choi                                                      |             8.4 |
| Ji-Tae Yoo                                                        |             8.4 |
| Hye-jeong Kang                                                    |             8.4 |
| Dae-han Ji                                                        |             8.4 |
| Joe Pantoliano                                                    |             8.4 |
| Mark Boone Junior                                                 |             8.4 |
| Yôji Matsuda                                                      |             8.4 |
| Yuriko Ishida                                                     |             8.4 |
| Yûko Tanaka                                                       |             8.4 |
| Billy Crudup                                                      |             8.4 |
| Elizabeth McGovern                                                |             8.4 |
| Treat Williams                                                    |             8.4 |
| Karen Allen                                                       |             8.4 |
| Paul Freeman                                                      |             8.4 |
| John Rhys-Davies                                                  |             8.4 |
| Shelley Duvall                                                    |             8.4 |
| Danny Lloyd                                                       |             8.4 |
| Scatman Crothers                                                  |             8.4 |
| Frederic Forrest                                                  |             8.4 |
| Tom Skerritt                                                      |             8.4 |
| Veronica Cartwright                                               |             8.4 |
| Peter Sellers                                                     |             8.4 |
| George C. Scott                                                   |             8.4 |
| Sterling Hayden                                                   |             8.4 |
| Keenan Wynn                                                       |             8.4 |
| Tyrone Power                                                      |             8.4 |
| Charles Laughton                                                  |             8.4 |
| Elsa Lanchester                                                   |             8.4 |
| Ralph Meeker                                                      |             8.4 |
| Adolphe Menjou                                                    |             8.4 |
| George Macready                                                   |             8.4 |
| Wendell Corey                                                     |             8.4 |
| Thelma Ritter                                                     |             8.4 |
| Gloria Swanson                                                    |             8.4 |
| Erich von Stroheim                                                |             8.4 |
| Nancy Olson                                                       |             8.4 |
| Jack Oakie                                                        |             8.4 |
| Reginald Gardiner                                                 |             8.4 |
| Harrison Ford                                                     |             8.4 |
| Charles Chaplin                                                   |             8.4 |
| Matt Damon                                                        |             8.4 |
| Toshirô Mifune                                                    |             8.4 |
| Takashi Shimura                                                   |             8.4 |
| Joaquin Phoenix                                                   |             8.4 |
| Joe Pesci                                                         |             8.4 |
| Kang-ho Song                                                      |             8.4 |
| Anthony Hopkins                                                   |             8.4 |
| Thomas Mitchell                                                   |             8.4 |
| James Stewart                                                     |             8.4 |
| Leonardo DiCaprio                                                 |             8.4 |
| J.K. Simmons                                                      |             8.3 |
| Natalie Portman                                                   |             8.3 |
| Charles Bronson                                                   |             8.3 |
| Humphrey Bogart                                                   |             8.3 |
| Henry Bergman                                                     |             8.3 |
| Sigourney Weaver                                                  |             8.3 |
| Alec Guinness                                                     |             8.3 |
| Chris Hemsworth                                                   |             8.3 |
| Clint Eastwood                                                    |             8.3 |
| Adrien Brody                                                      |             8.3 |
| Claude Rains                                                      |             8.3 |
| Dean-Charles Chapman                                              |             8.3 |
| George MacKay                                                     |             8.3 |
| Daniel Mays                                                       |             8.3 |
| Colin Firth                                                       |             8.3 |
| Ayushmann Khurrana                                                |             8.3 |
| Radhika Apte                                                      |             8.3 |
| Anil Dhawan                                                       |             8.3 |
| Mads Mikkelsen                                                    |             8.3 |
| Thomas Bo Larsen                                                  |             8.3 |
| Annika Wedderkopp                                                 |             8.3 |
| Lasse Fogelstrøm                                                  |             8.3 |
| Payman Maadi                                                      |             8.3 |
| Leila Hatami                                                      |             8.3 |
| Sareh Bayat                                                       |             8.3 |
| Shahab Hosseini                                                   |             8.3 |
| Lubna Azabal                                                      |             8.3 |
| Mélissa Désormeaux-Poulin                                         |             8.3 |
| Maxim Gaudette                                                    |             8.3 |
