+-------------------------------------------------------------------------------------+
| actor                                                             | number of films |
+-------------------------------------------------------------------------------------+
| Robert De Niro                                                    |               9 |
| Leonardo DiCaprio                                                 |               6 |
| Tom Hanks                                                         |               6 |
| Harrison Ford                                                     |               6 |
| Aamir Khan                                                        |               6 |
| Christian Bale                                                    |               5 |
| Brad Pitt                                                         |               5 |
| Clint Eastwood                                                    |               5 |
| Charles Chaplin                                                   |               5 |
| Morgan Freeman                                                    |               4 |
| Al Pacino                                                         |               4 |
| Jack Nicholson                                                    |               4 |
| Tatsuya Nakadai                                                   |               4 |
| Matt Damon                                                        |               4 |
| Kevin Spacey                                                      |               4 |
| Toshirô Mifune                                                    |               4 |
| James Stewart                                                     |               4 |
| Mark Ruffalo                                                      |               4 |
| Marlon Brando                                                     |               3 |
| Michael Caine                                                     |               3 |
| Robert Duvall                                                     |               3 |
| Elijah Wood                                                       |               3 |
| Viggo Mortensen                                                   |               3 |
| Ian McKellen                                                      |               3 |
| Orlando Bloom                                                     |               3 |
| Bruce Willis                                                      |               3 |
| Joe Pesci                                                         |               3 |
| Mark Hamill                                                       |               3 |
| Carrie Fisher                                                     |               3 |
| Alec Guinness                                                     |               3 |
| Takashi Shimura                                                   |               3 |
| Joaquin Phoenix                                                   |               3 |
| Chris Hemsworth                                                   |               3 |
| Hugh Jackman                                                      |               3 |
| Russell Crowe                                                     |               3 |
| Tom Hardy                                                         |               3 |
| William Holden                                                    |               3 |
| Robin Williams                                                    |               3 |
| Paul Newman                                                       |               3 |
| Jack Hawkins                                                      |               3 |
| Gunnar Björnstrand                                                |               3 |
| Steve Buscemi                                                     |               3 |
| Ethan Hawke                                                       |               3 |
| Diane Keaton                                                      |               2 |
| Uma Thurman                                                       |               2 |
| Liam Neeson                                                       |               2 |
| Ralph Fiennes                                                     |               2 |
| Ben Kingsley                                                      |               2 |
| Henry Fonda                                                       |               2 |
| Lee J. Cobb                                                       |               2 |
| Ken Watanabe                                                      |               2 |
| Edward Norton                                                     |               2 |
| Robin Wright                                                      |               2 |
| Lee Van Cleef                                                     |               2 |
| Carrie-Anne Moss                                                  |               2 |
| Hugo Weaving                                                      |               2 |
| Billy Dee Williams                                                |               2 |
| Kang-ho Song                                                      |               2 |
| Matthew McConaughey                                               |               2 |
| Anne Hathaway                                                     |               2 |
| Jodie Foster                                                      |               2 |
| Anthony Hopkins                                                   |               2 |
| Thomas Mitchell                                                   |               2 |
| Robert Downey Jr.                                                 |               2 |
| Chris Evans                                                       |               2 |
| J.K. Simmons                                                      |               2 |
| Paul Reiser                                                       |               2 |
| Adrien Brody                                                      |               2 |
| Edward Furlong                                                    |               2 |
| Gary Oldman                                                       |               2 |
| Natalie Portman                                                   |               2 |
| Arnold Schwarzenegger                                             |               2 |
| Linda Hamilton                                                    |               2 |
| Charles Bronson                                                   |               2 |
| Humphrey Bogart                                                   |               2 |
| Claude Rains                                                      |               2 |
| Paulette Goddard                                                  |               2 |
| Henry Bergman                                                     |               2 |
| Mahershala Ali                                                    |               2 |
| Gael García Bernal                                                |               2 |
| Sharman Joshi                                                     |               2 |
| Guy Pearce                                                        |               2 |
| James Woods                                                       |               2 |
| Martin Sheen                                                      |               2 |
| Sigourney Weaver                                                  |               2 |
| John Hurt                                                         |               2 |
| Marlene Dietrich                                                  |               2 |
| Kirk Douglas                                                      |               2 |
| Grace Kelly                                                       |               2 |
| Tabu                                                              |               2 |
| Tim Allen                                                         |               2 |
| Jim Carrey                                                        |               2 |
| Jason Statham                                                     |               2 |
| Jennifer Connelly                                                 |               2 |
| Ben Affleck                                                       |               2 |
| Michael Madsen                                                    |               2 |
| Michael Biehn                                                     |               2 |
| F. Murray Abraham                                                 |               2 |
| Albert Brooks                                                     |               2 |
| Robert Redford                                                    |               2 |
| Patrick Magee                                                     |               2 |
| Jack Lemmon                                                       |               2 |
| Fred MacMurray                                                    |               2 |
| Orson Welles                                                      |               2 |
| Joseph Cotten                                                     |               2 |
| Frances McDormand                                                 |               2 |
| Woody Harrelson                                                   |               2 |
| Christopher Plummer                                               |               2 |
| Daniel Day-Lewis                                                  |               2 |
