+-------------------------------------------------------------------------------------+
| movie                                                             | position in rating |
+-------------------------------------------------------------------------------------+
| Втеча з Шоушенка                                                  |               1 |
| Хрещений батько                                                   |               2 |
| Темний лицар                                                      |               3 |
| Хрещений батько 2                                                 |               4 |
| Володар перснів: Повернення короля                                |               5 |
| Кримінальне чтиво                                                 |               6 |
| Список Шиндлера                                                   |               7 |
| 12 розгніваних чоловіків                                          |               8 |
| Початок                                                           |               9 |
| Бійцівський клуб                                                  |              10 |
| Володар перснів: Хранителі персня                                 |              11 |
| Форрест Ґамп                                                      |              12 |
| Хороший, поганий, злий                                            |              13 |
| Володар перснів: Дві вежі                                         |              14 |
| Матриця                                                           |              15 |
| Славні хлопці                                                     |              16 |
| Зоряні війни: Епізод 5 - Імперія завдає удару у відповідь         |              17 |
| Пролітаючи над гніздом зозулі                                     |              18 |
| Anand                                                             |              19 |
| Харакірі                                                          |              20 |
| Паразити                                                          |              21 |
| Інтерстеллар                                                      |              22 |
| Місто Бога                                                        |              23 |
| Віднесені привидами                                               |              24 |
| Врятувати рядового Раяна                                          |              25 |
| Зелена миля                                                       |              26 |
| Життя прекрасне                                                   |              27 |
| Сім                                                               |              28 |
| Мовчання ягнят                                                    |              29 |
| Зоряні війни: Епізод 4 - Нова надія                               |              30 |
| Сім самураїв                                                      |              31 |
| Це прекрасне життя                                                |              32 |
| Джокер                                                            |              33 |
| Месники: Війна нескінченності                                     |              34 |
| Одержимість                                                       |              35 |
| Недоторканні                                                      |              36 |
| Престиж                                                           |              37 |
| Відступники                                                       |              38 |
| Піаніст                                                           |              39 |
| Гладіатор                                                         |              40 |
| Американська історія Ікс                                          |              41 |
| Підозрілі особи                                                   |              42 |
| Леон                                                              |              43 |
| The Lion King                                                     |              44 |
| Термінатор 2: Судний день                                         |              45 |
| Новий кінотеатр «Парадізо»                                        |              46 |
| Могила світлячків                                                 |              47 |
| Назад у майбутнє                                                  |              48 |
| Одного разу на Дикому Заході                                      |              49 |
